Name,Address,Garden website,Email,Secondary contact,lat,lng
Notting Hill Neighbourhood House Community Garden,37 Westerfield DriveNotting Hill VIC 3168,http://www.nottinghillnh.org.au,vic@communitygarden.org.au,,-37.90636,145.14952
Padley Park Community Garden,,,davids@brimbank.vic.gov.au,,-37.74343,144.80896
PepperTree Place - Kildonan UnitingCare,,http://www.kildonan.unitingcare.org.au/program_community_peppertree.php,info@kildonan.org.au,,-37.766212,144.962204
Pines Patch Community Garden,26 Mahogany AveFrankston North VIC 3200,,vic@communitygarden.org.au,,-38.122761,145.148254
Plenty Valley Community Garden,,http://directory.communitygarden.org.au/plentyvalleycommunitygarden%40gmail.com,vic@communitygarden.org.au,,-37.51679,145.1142
Port Phillip EcoCentre Community Garden,55A Blessington StSt Kilda VIC 3182,Port Phillip EcoCentre Community Garden,"anthony@ecocentre.com, info@ecocentre.com",,-37.8699,144.982
Ringwood Community Garden,,http://www.ringwoodcommunitygarden.org.au,membersec@ringwoodcommunitygarden.org.au,"Secretary, info@ringwoodcommunitygarden.org.au",-37.842525,145.228012
Riversdale Rd Community Garden ,,,lywanne@bigpond.net.au ,,-37.8303,145.052
Rosebud Community Garden,"Lawson Park, Leon AvenueRosebud VIC 3939",https://rosebudcommunitygarden.org/,vic@communitygarden.org.au,,-38.36865,144.91917
Roxburgh Park Homestead Community Garden,,,healthyhume@hume.vic.gov.au,,-37.62325,144.92435
Rushall Garden,,,vic@communitygarden.org.au,,-37.781811,144.989868
Shoestring Gardening Community Garden Inc,Eco-Living Centre 28 Ridge DriveWyndham Vale VIC 3024,http://shoestring.webs.com/,shoestring.contact@gmail.com,,-37.90786,144.64913
Simply Living Community Garden,,http://www.southportuniting.org.au/Community-Garden.html,janet.hoare@southportuniting.org.au,,-37.83604955,144.9427488
Slater Community Garden,,,gaeltrusler@gmail.com,,-37.822716,145.151375
Slater Reserve Community Gdn,,,vic@communitygarden.org.au,,-37.82924,145.15708
South Melbourne Commons,,,smc.operations@foe.org.au,,-37.8359,144.954
Span Community House Community Garden,,http://www.spanhouse.org,manager@spanhouse.org,,-37.76200847,145.0138008
St John's Community Garden,,,vic@communitygarden.org.au,,-37.822716,145.151375
St Kilda Community Gardens Club,,http://communitygardeningportphillip.net/community-gardens/st-kilda-community-ga...,stkildacommunitygardens@gmail.com,"Steve Kearney, kearnstar@yahoo.com",-37.872063,144.993195
Tecoma Community Garden,,,cked@aapt.net.au,,-37.9074,145.343
The Bridge Community Gdn Centre,,,japarahouse@netspace.net.au,,-37.8004,145.322
The Crib Community Garden,7 Park RoadCrib Point VIC 3919,,thecrib3919@gmail.com,,-38.2431,145.069
The Poet's Garden,Tennyson StreetElwood VIC 3184,Poets Garden,poetsgardenenquiries@gmail.com,,-37.8799,144.99
Thrive Community Garden Inc.,,http://www.thrivecommunitygarden.org,secretary@thrivecommunitygarden.org,"General info contact, info@thrivecommunitygarden.org,",-37.673145,145.152435
Toolangi Castella and District Community Garden,1715 Healesville – Kinglake RoadToolangi VIC 3777,,gondwanalande@bigpond.com,,-37.5383,145.474
Union St Community Garden,Union StWindsor VIC 3181,http://www.cultivatingcommunity.org.au/community-gardens/public-housing-gardens/...,info@cultivatingcommunity.org.au,,-37.85343,144.98363
Upwey Link Community Kitchen Gdn,,,michellejones58@optusnet.com.au,,-37.9037,145.331
Urban Reforestation,Level 3 673 Bourke StreetMelbourne VIC 3000,http://www.urbanreforestation.com/what-we-do/docklands-community-garden/,vic@communitygarden.org.au,,-37.81734,144.93803
Veg Out St Kilda Community Artist Gardens,,http://www.vegout.asn.au/,hello@vegout.asn.au,,-37.869396,144.979126
Warrandyte Community Garden,,,vic@communitygarden.org.au,,-37.74746,145.20953
Watsonia Neighbourhood House,,http://www.watsonianh.org.au/index.cfm?%2Fhome%2F,enquiries@watsonianh.org.au,,-37.7119,145.078
Wavlink Community Garden,77 Bogong AveGlen Waverley VIC 3150,http://www.wavlink.org.au,vic@communitygarden.org.au,,-37.88198373,145.1572894
West Brunswick Community Garden,Dunstan ReserveBrunswick West VIC 3056,Moreland Community Gardening,Grow.eat.moreland@gmail.com,,-37.754205,144.941
Whittlesea Township Community Garden,,,whittleseacommunitygarden@pvch.org.au,,-37.51439,145.11731
Wingate Ave Community Garden,13A Wingate AveAscot Vale VIC 3032,http://www.cultivatingcommunity.org.au/,info@cultivatingcommunity.org.au,,-37.778835,144.917252
Winton Road Food Forest,,http://foodforestashy.wordpress.com/,foodforestashy@gmail.com,,-37.866325,145.08728
Yarraville Baptist Church,,,gwraight@westgatebaptist.org.au  ,,-37.816177,144.880035
Chesterfield Farm Community Garden,,http://transitionknox.wordpress.com/,Flowry15@hotmail.com,"Jessie Buckley, jandjbuckley74@optusnet.com.au,",-37.900787,145.219147
Healesville Community Garden,9 River StreetHealesville VIC 3777,,healesvillecommunitygarden@gmail.com,"Michelle Fleming, michelle.fleming@easternhealth.org.au,",-37.6531,145.514
Melton at Heart Community Garden,239 Station RoadMelton VIC 3337,,minab@djerriwarrh.org,,-37.686298,144.578232
Murrumbeena Community Garden,,,kerry.langford@yooralla.com.au,"Glynis Ramsay, rosella4@bigpond.com,",-37.892,145.065
The Avenue Neighbourhood House Community Garden,87 Eley RdBlackburn South VIC 3130,http://www.theavenue.org.au/index.php,info@theavenue.org.au,,-37.822716,145.151375
Collingwood Childrens Farm,,,reception@farm.org.au,,-37.8027,145.005
Keysborough Learning Centre Commuity Garden,,,info@klckeys.com.au,,-37.98991,145.16351
Morrison Community Garden,,,reception@morrisons.org.au,,-37.7738,145.383
Inkerman Heights Community Garden,Inkerman StSt Kilda VIC 3182,http://www.cultivatingcommunity.org.au/community-gardens/public-housing-gardens/...,info@cultivatingcommunity.org.au,,-37.8647526,144.9889138
Monash Permaculture Garden,,http://www.facebook.com/monashpermaculture,monashpermaculture@gmail.com,There is a sign at the garden with lots of useful information. Please feel free to email Monash Permaculture if you have any other questions.,-37.91167204,145.1318849
Monash University Community Farm,,http://www.facebook.com/monashpermaculture,monashpermaculture@gmail.com,"For information on activities at the Farm, contact Monash Permaculture or the Notting Hill Community Association (NHCA).",-37.90783003,145.1431596
Darley Community Art Garden,,http://Www.darleycommunityartgarden.blogspot.com,Darleycag@gmail.com,,-37.66269867,144.4378137
Werribee Community Garden,,http://www.wecpark.com,info@wecpark.com,,-37.89801711,144.6379977
Saxon St Community Garden,Saxon StDoncaster VIC 3108,http://www.3000acres.org,hello@3000acres.org,ellie.blackwood88@gmail.com,-37.77073805,144.9605575
Brunswick Neighbourhood House Community Garden,43A De Carle Stbrunswick VIC 3056,Brunswick Neighbourhood House Community Garden,brunswicknhcommunitygarden@gmail.com,,-37.76024859,144.9648248
Links Community Garden (Lalor),401-405 Station StreetLalor VIC 3075,Links Community Garden Lalor,linkscommunitygroup@gmail.com,,-37.66746338,145.0169777
